Type,ID,ParentID,Date,Content,Likes,Comments
COMMENT,"UgzwqKrI_n9gom6693N4AaABAg","K-dTiVEMKHo","2025-10-05 23:03:20","a di đà phật",0,0
POST,"JaRcTbj992Q","","2025-10-05 20:15:08","kinh hoàng bão matmo đổ bộ trung quốc, gió giật 151 km/h, 650.000 người sơ tán giữa nghỉ lễ vtc news ngày 5/10, bão matmo, cơn bão thứ 21 mùa bão thái bình dương năm nay, đổ bộ vào bờ biển phía đông .",20,2
COMMENT,"UgxinYpoib3gCqczPgl4AaABAg","JaRcTbj992Q","2025-10-05 20:40:02","xôn xao: ngôi mộ gần đất có ‘uẩn khúc’ khiến hữu bất chấp xây trái phép? https://www.youtube.com/watch?v rh1jwe6ghwu",0,0
COMMENT,"UgwMoWazlUJ35acS-Tx4AaABAg","JaRcTbj992Q","2025-10-05 20:40:14","cho gia đình con trai hết đất, không cho con gái: cụ phú thọ hối hận quyết đòi đất cho! https://www.youtube.com/watch?v yqcqopomwla",0,0
POST,"JykeXGeufGU","","2025-10-08 07:00:22","nóng ảnh hưởng bão matmo ngập hết nhà cửa #baobualoi #baoso11 #matmo #lulut",45,0
POST,"RuR3C1n_cQw","","2025-10-02 20:00:31","tin lũ khẩn cấp 19h ngày 2/10: bão matmo nhanh tiến vào biển đông vtvwdb tin lũ khẩn cấp 19h ngày 2/10: bão matmo nhanh tiến vào biển đông vtvwdb dự báo thời tiết vtv kênh youtube .",550,25
COMMENT,"Ugwegqvrdtoj_dWKxcV4AaABAg","RuR3C1n_cQw","2025-10-02 20:59:40","thương lắm việt nam ơi",7,0
COMMENT,"UgyBfap60rMkQaSmxo54AaABAg","RuR3C1n_cQw","2025-10-02 22:20:50","a di đà phật mong chồi đất thương việt nam sưa tan cơn bão gió không đất liền cứ cái đà không khác chiến chanh hoang tàn",2,0
COMMENT,"UgxTFQZGZ4kQ_M2CZm54AaABAg","RuR3C1n_cQw","2025-10-03 11:41:33","thương cho đồng bào miền lủ",0,0
COMMENT,"Ugxd6fYVM3fk4CSTT0t4AaABAg","RuR3C1n_cQw","2025-10-03 04:34:06","ôi một mo hồn đôn hồn bay tại sao đất nước trời cho gặp ?! còn nỗi khổ đắng cay ôi ngày tháng",0,0
COMMENT,"UgxwYTuU4UVwA6QcKld4AaABAg","RuR3C1n_cQw","2025-10-02 22:28:25","hâm mộ khánh trang chất giọng truyền cảm",3,0
COMMENT,"UgzLFwJy3Z3Ta-4y7gF4AaABAg","RuR3C1n_cQw","2025-10-02 20:47:40","bão chồng bão khổ tột",2,0
COMMENT,"UgzH4k9C7mlOWcV36eR4AaABAg","RuR3C1n_cQw","2025-10-02 22:08:49","hết bảo bão số 11 thật sự đáng sợ",1,0
COMMENT,"Ugwc37ylG7NCqyn1qQh4AaABAg","RuR3C1n_cQw","2025-10-02 22:54:03","xót xa cho gđ mất người thân.mất nhà cửa",0,0
COMMENT,"Ugznwnbi39z963jywy54AaABAg","RuR3C1n_cQw","2025-10-02 22:01:31","haizz người dân khổ",1,0
COMMENT,"UgxtdfcDUjh0TgElmCR4AaABAg","RuR3C1n_cQw","2025-10-02 23:11:30","ở cháu lua có mầm nhưng chưa dau miền trung bác",0,0
COMMENT,"UgzWTMOfdRfnZ4fzZ6R4AaABAg","RuR3C1n_cQw","2025-10-02 20:43:31","khủng khiếp chưa có cơn bão mô",2,0
COMMENT,"UgwA9I07-tbIsD5-i0J4AaABAg","RuR3C1n_cQw","2025-10-02 23:16:41","thủ tướng nhân dân",0,0
COMMENT,"UgzZ4vJZ3B8VYFE1D6x4AaABAg","RuR3C1n_cQw","2025-10-03 04:25:13","ôi bat cơm bat cháo đời ?!?!",0,0
COMMENT,"Ugze4KIi0zRY2I-9exx4AaABAg","RuR3C1n_cQw","2025-10-03 05:44:55","bão số 10 chưa khắc phục xong bão 11 xắp tới",0,0
COMMENT,"UgxQLXsvIrxE05chO0B4AaABAg","RuR3C1n_cQw","2025-10-03 04:37:37","đất nhà trời trời nhà phật mất phúc phật !",0,0
COMMENT,"UgxOgCvO4aM74dPRADZ4AaABAg","RuR3C1n_cQw","2025-10-02 23:14:38","báo cáo khoảng vậy bác",0,0
COMMENT,"UgzvCrBsFskmuBTNpZV4AaABAg","RuR3C1n_cQw","2025-10-03 04:31:17","đất có thần trăm dân đau khổ không có công thân lấy được bình yên vi sao ?! vi sao!",0,0
COMMENT,"UgxhySLvtNtn4CzfBUV4AaABAg","RuR3C1n_cQw","2025-10-03 06:08:26","cấp 8",0,0
COMMENT,"UgwBVgrQGwU1va4p4hh4AaABAg","RuR3C1n_cQw","2025-10-02 21:54:19","phát thanh viên nói thật dễ hiểu xinh đẹp",2,0
COMMENT,"UgxG36ltvW7tp0UdaDp4AaABAg","RuR3C1n_cQw","2025-10-02 22:17:07","phòng chống bão kém chủ quan dẫn thiệt hại người nặng nề",2,0
COMMENT,"UgxmOcbhwrRCjjcEdRV4AaABAg","RuR3C1n_cQw","2025-10-03 04:28:37","19? đao làm người viết câu chữ đai bào đang ôi tâm bang gia đình giờ mọi công trình tan hoang",0,0
COMMENT,"UgxmkinLlhkiVjjv2EF4AaABAg","RuR3C1n_cQw","2025-10-03 05:46:32","btv khanh trang an noi luu loat, hien hau, xu ly tinh huong kha nhanh, tat công an 10 diem,",0,0
COMMENT,"Ugz31tcsrfEBbFloa_h4AaABAg","RuR3C1n_cQw","2025-10-02 20:18:00","bão mặt-mo! ))",4,0
POST,"1ugWoWkh5Xc","","2025-10-06 19:15:01","bắc bộ mưa diện rộng bão matmo đổ bộ #shorts #bãolụt #thoitiet #dựbáothờitiết bão số 11 suy yếu thành áp thấp nhiệt đới sáng nay. dự báo, 2 ngày 6-7/10, hoàn lưu cơn bão số 11 gây một đợt .",11,0
